Longitude,Latitude
77.6099374287,12.9650453933
77.599161151,12.976639577
77.5682300843,12.9639919557
77.605183297,12.9906559631
77.612935384,12.9829081509
77.5746125683,12.981315757
77.6069228772,12.9853733525
77.5664781827,12.9706990708
77.5569607831,12.9604944389
77.5767876722,12.9528698407
77.5854339406,12.9543591373
77.5744668908,12.9808231525
77.5923216857,12.9623702251
77.614427698,12.9752969638
77.6080659173,12.981645082
77.5746160887,12.9854256556
77.6314847871,12.9816426512
77.6100795857,12.9809890304
77.6033485822,12.9820755765
77.5970823552,12.9822556198
77.5967178263,12.964676841
77.3780965853,13.1105314278
77.6751129284,13.2138733369
77.6453599382,13.1898238965
77.6065762855,12.9955148686
77.5719067223,12.9845033948
77.5906047366,13.0099782616
77.6008493501,13.0230097741
77.5912006899,12.9770695687
77.594179786,13.0119463325
77.5914227266,13.0163309899
77.5725452557,12.9803729605
77.5932194713,13.0264052831
77.5929366659,13.0249765877
77.5914193738,12.9952306383
77.5912572678,13.0429019582
77.5914899494,13.0462524563
77.5884882223,13.0424508442
77.5901911735,13.0427430373
77.5893279213,13.0389194645
77.5922688797,13.1030745514
77.6062882833,12.9956797406
77.6744231816,13.1980549254
77.6595942538,13.2006542374
77.6594203293,13.1996721298
77.6676606621,13.2061099344
77.6584003355,13.1993666933
77.5543270215,13.0327401579
77.5575704828,13.0343437836
77.5834736649,13.1114964363
77.6675733227,13.1981054683
77.6627484478,13.2017950983
77.5426815405,13.0493020442
77.5472249511,13.0416583352
77.5507512178,12.9876920384
77.6267491795,12.9728060298
77.6290499281,12.9944211979
77.6453788813,12.9949415464
77.655156539,12.976683582
77.6565499466,12.9751049344
77.6165548574,12.9955909763
77.6463015612,12.9911273614
77.5565516624,12.8968950722
77.5922867331,12.9828332167
77.6479650337,12.9870003637
77.5796799317,12.9864874751
77.5602080162,12.9002732307
77.5672521677,12.9138491478
77.5602626662,12.8967912205
77.5520362474,13.0518396654
77.5501145284,13.0489090167
77.4481531187,13.1369480853
77.5773124631,12.9563231848
77.5758811693,12.9622728273
77.5592263277,12.9602213565
77.564331745,12.8904085688
77.5579916734,12.8986202356
77.4268375199,12.8552323196
77.6996877465,13.0524162565
77.7151023179,13.0568736688
77.715952662,13.0816515804
77.7391656723,13.0641041499
77.6746692743,13.0336472474
77.6641497344,13.0289892562
77.6785979561,13.0117756769
77.6560010996,13.0373948802
77.7012819845,12.9589765601
77.701658332,12.9594256625
77.6640205692,12.994746751
77.664244869,12.9943375465
77.6700059187,12.9971646786
77.6670168482,12.9993674428
77.6849949408,13.005151878
77.6850618284,13.0050482776
77.6701019753,12.9974232603
77.6625611961,12.997151519
77.6628263995,12.9966832221
77.662827573,12.9973060813
77.6641997743,12.9946079467
77.6995926958,13.013291125
77.654577098,13.0074174226
77.5092926483,13.0571189233
77.6621000238,13.0123437185
77.6648205381,13.0109454494
77.6632179182,13.0131868542
77.6637935873,13.0116247189
77.6645818215,12.9950039916
77.6101422824,13.0009329308
77.5712003793,13.0284486235
77.5641027514,12.9094473913
77.5256095316,13.0502165936
77.6750562668,12.9934287805
77.667766777,13.0030017522
77.7045464844,13.0170500733
77.6637429606,13.0287218735
77.6297985997,13.017679219
77.6261186927,13.0130308669
77.6298805747,13.0209980335
77.6233102523,13.0212359958
77.6357575461,13.0144693692
77.7098208807,13.009701575
77.6957670275,13.008405146
77.6501719888,13.0091469445
77.6542096354,13.0149684277
77.5924651839,12.8561252437
77.7186722543,13.0533334881
77.6059375845,12.9948499322
77.5528363838,13.0198508863
77.6417843859,13.0005189486
77.6439419716,12.9962215469
77.6448462952,12.9956109252
77.6413718287,13.0016319815
77.639490762,13.0029001635
77.5450998872,13.0354641926
77.6370555676,12.9929811869
77.5539498359,13.0188854587
77.5547260839,13.0175866828
77.6072668705,12.9935296987
77.6347570821,13.0039732985
77.598754964,12.9934208177
77.6453301824,12.9937713489
77.6521108907,12.9957375758
77.5852816414,12.963992291
77.5442027721,13.0264063727
77.5269197907,13.0214783166
77.3850253179,13.0976115622
77.544841557,13.0368841708
77.5373598702,13.0123659306
77.540983786,13.0008382991
77.5955148555,13.0118985556
77.5614060416,13.0039549422
77.5352158632,13.0216328789
77.5688433882,12.9933273595
77.5541779913,13.0060543575
77.553703827,12.979687237
77.5693453803,12.9992512696
77.5487342804,13.0077126332
77.5732630819,13.0425507564
77.6635105304,12.9942820583
77.6268080205,12.9304085195
77.618704145,12.9413109448
77.5889999374,12.9277723272
77.5849025279,12.9362036836
77.6067398164,12.9309313826
77.5778004575,12.9174516898
77.5563674282,12.903049317
77.566153384,12.9135302164
77.5662179246,12.9288941611
77.5347398549,12.9294916231
77.5474235184,12.9493493576
77.5678041998,12.9436318938
77.5728714794,12.9437104322
77.561995038,12.9602979671
77.5558517735,12.9595278379
77.5357836533,13.0010170851
77.5695653215,12.9932528444
77.5415948268,13.0084850256
77.5367730531,12.9688210216
77.5445141598,12.9665108852
77.57363725,12.9437197361
77.5730642631,12.9405657936
77.5438484691,12.898856689
77.6774837498,13.2163885784
77.5544113434,12.9899502907
77.55249633,12.9900116463
77.5487830631,12.9608710379
77.6203299828,13.0001687527
77.640789957,13.0075444922
77.5339713182,12.957681137
77.5283500786,12.9571169511
77.5826879453,13.0421713915
77.6335734736,13.0675765209
77.5856557257,12.8918143816
77.5236540336,12.9590983492
77.5665365208,12.9877057847
77.6655195888,12.8454399936
77.6716712352,12.8468240973
77.5347438782,12.964330836
77.541987938,12.9858428229
77.7170687962,12.9591425218
77.5663587406,12.9934595421
77.5714247629,12.9934237514
77.6088685684,12.8767982859
77.5239797543,12.967748138
