name,pointA_Longitude,pointA_Latitude,pointB_Longitude,pointB_Latitude
,77.5183276694,12.936419769,77.517865156,12.9349858768
,77.5073022816,12.9209319398,77.509104726,12.9188405711
,77.5334669791,12.938448441,77.5333895303,12.938366466
,77.527735769,12.9114944197,77.5204754483,12.9111603171
,77.5800210751,12.9483418528,77.5799950912,12.9552311905
,77.6006094601,12.9073476408,77.5868082374,12.9062987294
,77.5575830556,12.9607419565,77.5387789264,12.9509082239
,77.5602515183,12.9219517659,77.5626983635,12.9295064591
,77.5181025315,12.924750232,77.516122223,12.9269939836
,77.5145629376,12.9295833211,77.528413362,12.9232029326
,77.5828476205,12.9436510883,77.5839153912,12.9339843232
,77.5849283442,12.9366065178,77.5800286188,12.9367886566
,77.5607288677,12.9352452967,77.5643049229,12.9398568522
,77.5537161484,12.9441826686,77.5547088172,12.9441853508
,77.5744705788,12.9208796367,77.5736426983,12.9210612726
,77.5602515183,12.9219517659,77.5587700169,12.9125218734
,77.5851696592,12.9435579654,77.5850311901,12.9367350962
,77.5695948258,12.9155195773,77.5704850677,12.9255014181
,77.5572571672,12.9379224766,77.5579322457,12.9416543514
,77.5538291365,12.9187782936,77.5551909443,12.9184010241
,77.5955325413,12.9459311336,77.5925459854,12.9384801246
,77.5971524279,12.9269603722,77.5897247206,12.9271254957
,77.5805680781,12.9330241762,77.5839156426,12.9329141218
,77.5839156426,12.9329141218,77.5839553728,12.9366247904
,77.5761767991,12.9309458833,77.583858981,12.9307804246
,77.583858981,12.9307804246,77.5861037384,12.9307552789
,77.5925853803,12.931537981,77.586119245,12.9328881379
,77.5897247206,12.9271254957,77.5894747723,12.9169333529
,77.5882061712,12.9278656177,77.5880351804,12.9216915917
,77.5478101756,12.9389841285,77.5476264443,12.9405564897
,77.5849046234,12.9307687737,77.5848652284,12.9286451347
,77.5672611363,12.9604436446,77.5673648204,12.9571401689
,77.5650920674,12.9417756375,77.55923362,12.9416147888
,77.5685281448,12.9604787648,77.5566912211,12.960181291
,77.59276249,12.9896409985,77.5894963976,12.9859412264
,77.5642862312,12.9417474743,77.5642177511,12.9466429249
,77.6096749913,12.9926877365,77.6117413819,12.9967114691
,77.5575477678,12.960856621,77.5648107707,12.9625369411
,77.5445698995,12.9318091355,77.5514021564,12.9277351953
,77.6000413347,12.9922892608,77.597172796,12.9843651772
,77.5620154898,12.961636138,77.561995038,12.9602979671
